Planting date,Plant population,Variety,Replication,Yield (lbs),bushels,Harvested width (ft),Harvested length (ft),Harvested area (sq ft),Harvested area (acres),Soybean yield (bu_acre)
Early,115000,4223RXF,1,470,8.33,10,453,4530,0.10399449,80.10039735
Early,115000,AG39XF3,1,395,6.96,10,453,4530,0.10399449,66.92662252
Early,115000,3624RXF,1,375,6.5,10,453,4530,0.10399449,62.50331126
Early,115000,AG33XF3,1,360,6.21,10,453,4530,0.10399449,59.71470199
Early,150000,AG33XF3,1,400,7.14,10,453,4530,0.10399449,68.65748344
Early,150000,3624RXF,1,390,6.8,10,453,4530,0.10399449,65.38807947
Early,150000,AG39XF3,1,420,7.35,10,453,4530,0.10399449,70.67682119
Early,150000,4223RXF,1,390,6.76,10,453,4530,0.10399449,65.00344371
Early,115000,4223RXF,2,330,5.94,10,453,4530,0.10399449,57.1184106
Early,115000,AG39XF3,2,340,6.17,10,453,4530,0.10399449,59.33006623
Early,115000,3624RXF,2,360,6.49,10,453,4530,0.10399449,62.40715232
Early,115000,AG33XF3,2,340,6.23,10,453,4530,0.10399449,59.90701987
Early,150000,AG33XF3,2,395,7.14,10,453,4530,0.10399449,68.65748344
Early,150000,3624RXF,2,375,6.64,10,453,4530,0.10399449,63.84953642
Early,150000,AG39XF3,2,335,6.05,10,453,4530,0.10399449,58.17615894
Early,150000,4223RXF,2,315,5.71,10,453,4530,0.10399449,54.90675497
Late,115000,4223RXF,1,385,6.92,10,453,4530,0.10399449,66.54198675
Late,115000,AG39XF3,1,400,7.48,10,453,4530,0.10399449,71.92688742
Late,115000,3624RXF,1,395,7.09,10,453,4530,0.10399449,68.17668874
Late,115000,AG33XF3,1,440,8.19,10,453,4530,0.10399449,78.75417219
Late,150000,AG33XF3,1,385,6.84,10,453,4530,0.10399449,65.77271523
Late,150000,3624RXF,1,400,7.28,10,453,4530,0.10399449,70.00370861
Late,150000,AG39XF3,1,395,7.15,10,453,4530,0.10399449,68.75364238
Late,150000,4223RXF,1,440,7.89,10,453,4530,0.10399449,75.86940397
Late,115000,4223RXF,2,355,6.38,10,453,4530,0.10399449,61.34940397
Late,115000,AG39XF3,2,355,6.32,10,453,4530,0.10399449,60.77245033
Late,115000,3624RXF,2,395,6.81,10,453,4530,0.10399449,65.48423841
Late,115000,AG33XF3,2,365,6.6,10,453,4530,0.10399449,63.46490066
Late,150000,AG33XF3,2,325,5.83,10,453,4530,0.10399449,56.06066225
Late,150000,3624RXF,2,340,6.03,10,453,4530,0.10399449,57.98384106
Late,150000,AG39XF3,2,305,5.4,10,453,4530,0.10399449,51.92582781
Late,150000,4223RXF,2,295,5.18,10,453,4530,0.10399449,49.81033113
