Planting date,Plant population,Variety,Soybean yield (bu_acre)
Early,115000,4223RXF,80.10039735
Early,115000,AG39XF3,66.92662252
Early,115000,3624RXF,62.50331126
Early,115000,AG33XF3,59.71470199
Early,150000,AG33XF3,68.65748344
Early,150000,3624RXF,65.38807947
Early,150000,AG39XF3,70.67682119
Early,150000,4223RXF,65.00344371
Early,115000,4223RXF,57.1184106
Early,115000,AG39XF3,59.33006623
Early,115000,3624RXF,62.40715232
Early,115000,AG33XF3,59.90701987
Early,150000,AG33XF3,68.65748344
Early,150000,3624RXF,63.84953642
Early,150000,AG39XF3,58.17615894
Early,150000,4223RXF,54.90675497
Late,115000,4223RXF,66.54198675
Late,115000,AG39XF3,71.92688742
Late,115000,3624RXF,68.17668874
Late,115000,AG33XF3,78.75417219
Late,150000,AG33XF3,65.77271523
Late,150000,3624RXF,70.00370861
Late,150000,AG39XF3,68.75364238
Late,150000,4223RXF,75.86940397
Late,115000,4223RXF,61.34940397
Late,115000,AG39XF3,60.77245033
Late,115000,3624RXF,65.48423841
Late,115000,AG33XF3,63.46490066
Late,150000,AG33XF3,56.06066225
Late,150000,3624RXF,57.98384106
Late,150000,AG39XF3,51.92582781
Late,150000,4223RXF,49.81033113
